CDS_Id,Name,emp_n,emp_exceed_abs_z_gt_2,emp_exceed_abs_z_gt_3,smw_oot_n,smw_oot_exceed_abs_z_gt_2,smw_oot_exceed_abs_z_gt_3
556,Banco Comercial Portugues,2166,0.04524469067405355,0.002770083102493075,434,0.004608294930875576,0.0
557,Unicredit,2170,0.04516129032258064,0.0027649769585253456,434,0.018433179723502304,0.0069124423963133645
558,Capitalia,2183,0.04580852038479157,0.002748511223087494,437,0.020594965675057208,0.006864988558352402
559,Commerzbank,2166,0.04524469067405355,0.002770083102493075,434,0.01152073732718894,0.004608294930875576
560,Deutsche Bank,2166,0.04524469067405355,0.002770083102493075,434,0.03917050691244239,0.01152073732718894
561,Dresdner Bank,2166,0.04524469067405355,0.002770083102493075,434,0.016129032258064516,0.004608294930875576
562,GKN Holdings,2184,0.045787545787545784,0.0027472527472527475,437,0.006864988558352402,0.002288329519450801
563,HSBC Bank,2179,0.04589261128958238,0.0027535566773749425,436,0.0389908256880734,0.0045871559633027525
564,Banca Monte dei Paschi di Siena,2165,0.045727482678983834,0.002771362586605081,433,0.016166281755196306,0.004618937644341801
565,Royal Bank of Scotland,2164,0.04528650646950092,0.0027726432532347504,433,0.046189376443418015,0.018475750577367205
566,Stagecoach Group,2173,0.04509894155545329,0.0027611596870685687,435,0.009195402298850575,0.006896551724137931
567,Technip,2165,0.045727482678983834,0.002771362586605081,433,0.674364896073903,0.6674364896073903
568,Unicredito Italiano,2183,0.04580852038479157,0.002748511223087494,437,0.020594965675057208,0.006864988558352402
569,ABN Amro,2037,0.045164457535591555,0.0029455081001472753,408,0.20098039215686275,0.12990196078431374
570,Barclays,2166,0.04524469067405355,0.002770083102493075,434,0.027649769585253458,0.0069124423963133645
571,HBOS,2166,0.04524469067405355,0.002770083102493075,434,0.016129032258064516,0.004608294930875576
